source_zipcode,target_zipcode,lag_1_corr,lag_2_corr,lag_3_corr,lag_4_corr,lag_5_corr,lag_6_corr
4003,4001,0.8406691880900092,0.7928796686506396,0.762779926817846,0.7461676577347192,0.7644216142181128,0.7815175325761193
4005,4001,0.756826244350231,0.6543866240262493,0.6135313802892354,0.627064716478275,0.6839126801644648,0.7102003939571686
4007,4001,0.7569361575366317,0.7077113929194286,0.6779070382977237,0.6600546716135226,0.6693382630869302,0.6750686377335317
4009,4001,0.7150029200811581,0.6685112341112157,0.6366346128887207,0.6123149289279761,0.6204143051341413,0.6250795388072182
4011,4001,0.5581343398254158,0.5398918126217135,0.5208557408316744,0.49424610179178724,0.4847451842377046,0.47711480563179626
4012,4001,0.7139596515381996,0.6649269703041232,0.624256479596633,0.6096186488602857,0.6344250040891956,0.6562838455871967
4013,4001,0.4058300023255788,0.36668698848283626,0.3309812832414787,0.2957731532132241,0.2813379289688111,0.26927565157726224
4015,4001,0.6038695075405626,0.5618210147764072,0.5335911939907091,0.508572722836917,0.5075960838482809,0.5098779790470789
4017,4001,0.8662468372090107,0.7700897656088534,0.7245821072591183,0.7265009553877939,0.7703451700636609,0.7909520294673821
4019,4001,0.30909873619125755,0.2673391668952823,0.23767379894513113,0.21057373210786243,0.20045893840185944,0.19007172026946076
4021,4001,0.49291113910583095,0.4338223456342399,0.3838653943435121,0.3543416541751036,0.3589977085618471,0.35870587698160544
4023,4001,0.7798801219507944,0.775472470917905,0.7479520557730672,0.7025477663141761,0.6803870989917218,0.6753938490726689
4025,4001,0.4984445523248564,0.4493316792724417,0.41195800642215424,0.3835840883588252,0.382492967867361,0.3832291034955249
4027,4001,0.7338415950104746,0.7191797823670741,0.6919008523184867,0.6565273606877864,0.6252339727635379,0.5891743949176919
6001,4001,0.4798754276971063,0.4362274799759293,0.40159254120535937,0.3683665348687567,0.3498362428771072,0.3383368415633926
6003,4001,0.42004065137701674,0.4228868739831599,0.4593426746055863,0.4460038931722022,0.3580280653997174,0.254607011046849
6005,4001,0.5834089795271566,0.5362868921502647,0.5063374884260584,0.49422161569992507,0.5064015417713132,0.5200102368602234
6007,4001,0.6991989916087072,0.6211815908928469,0.5835650899798139,0.5797388997450138,0.6097110966705311,0.6221988679949041
6009,4001,0.7173376164771584,0.666998817895015,0.6379365396048364,0.6275670368421086,0.6378370253506151,0.6487904971676688
6011,4001,0.36963751624745006,0.2975578580645211,0.28408804024037515,0.362361635030773,0.4724387562904678,0.511398708838552
6013,4001,0.48507551456656334,0.4423582398552078,0.40958135988703975,0.38141730320435374,0.36913434541608603,0.36142813179881034
6015,4001,0.7180490837852577,0.661426444368414,0.6460743744294699,0.6612681009310803,0.6761634874180431,0.6586828162854654
6017,4001,0.5883439454316844,0.5479524050006347,0.5256236648550606,0.5114483831080033,0.5034176546360686,0.49748854044928326
6019,4001,0.6752891516108681,0.6329279370223536,0.6357234537100614,0.6547773695383967,0.6587187488231463,0.6571132785661744
6021,4001,0.731786395770614,0.6267155123347442,0.5657929950284033,0.5827836884731574,0.6489366787958789,0.6757245512265967
6023,4001,0.6435969566799413,0.5739879121225756,0.5330729768940847,0.5249302710901164,0.5481621592527864,0.5612593514993242
6025,4001,0.7715299567570489,0.7429404688723911,0.7056699730330238,0.6579872962570181,0.6388409815705711,0.6322572019427278
6027,4001,0.7304953291888818,0.6727662755421366,0.6486505556892097,0.6445836410389134,0.6598144429865997,0.6671586616417141
6029,4001,0.6914146300788057,0.6502528401079047,0.6349128735716653,0.6364390209445212,0.642733192124237,0.6386827090072891
6031,4001,0.648166419327004,0.5921333069561016,0.5726515797500366,0.5847424292358018,0.6207717698689247,0.6637569623811843
6033,4001,0.6625206246255504,0.6158960877947611,0.6080606509262401,0.6029533037957755,0.6047951499095426,0.6006615799194968
