County,AR_RMSE,SARIMA_RMSE,GAT_RMSE,Ensemble_RMSE,Ensemble_MAE,AR_Ens,SAR_Ens,GAT_Ens,GCN_RMSE,GCN_MAE,AR_GCN,SAR_GCN,GAT_GCN
Ventura County,0.298965837,0.164423249,1.1444975,0.469297001,0.415139717,-56.97345415,-185.4200999,58.99536684,0.873825784,0.665501893,-192.2828216,-431.4490434,23.64983025
Yolo County,0.883193222,0.241029581,0.6884817,0.441188004,0.358457544,50.04626476,-83.04309432,35.91870288,0.688802071,0.557231665,22.01003652,-185.7749113,-0.046533018
Yuba County,0.857680652,0.409960158,1.9842925,0.855536277,0.721844495,0.250020111,-108.687664,56.8845683,1.071297408,0.953058302,-24.90632798,-161.3174445,46.01111438
Churchill County,0.208588492,0.235245968,1.7831502,0.68844792,0.680846849,-230.0507683,-192.6502529,61.39147894,1.388980407,1.116881847,-565.8950329,-490.4374979,22.10524905
Clark County,0.525823445,0.166162526,0.63169545,0.363434116,0.350830568,30.88286194,-118.7220702,42.46687762,0.670559349,0.574080706,-27.52557069,-303.5563043,-6.152315811
Douglas County,0.209918109,0.325842695,1.2858716,0.546558984,0.539576361,-160.3677152,-67.73706847,57.49505754,1.041014423,0.712393999,-395.914539,-219.4837382,19.04211722
Elko County,0.166787346,0.254614644,2.1506789,0.69573781,0.686604436,-317.1406457,-173.2512944,67.65031684,0.948152705,0.813045681,-468.4800002,-272.3873419,55.91379518
Esmeralda County,0.678489804,1.932140491,1.3035482,0.913650576,0.800605941,-34.65944082,52.71303611,29.91048767,0.818748837,0.711803257,-20.67223882,57.62477726,37.19075086
Eureka County,0.713410048,0.872669076,1.864643,0.84522213,0.663046048,-18.47634231,3.145172296,54.67110164,0.598418703,0.493994117,16.11854854,31.42661754,67.90706301
Humboldt County,0.273331812,0.360643107,2.0314753,0.732194827,0.68410848,-167.8776469,-103.0247669,63.95748317,1.096640881,0.863441944,-301.2123114,-204.0792572,46.01751344
Lander County,0.159148588,0.319478953,2.2989867,0.854394583,0.845369448,-436.8533855,-167.4337622,62.8360363,0.458633467,0.396892458,-188.1794134,-43.55670787,80.05062547
Lincoln County,0.229115811,0.379067336,1.2477201,0.478733321,0.406938358,-108.9481811,-26.29242233,61.631353,1.474592075,1.27749157,-543.6011851,-289.0053125,-18.18292218
Lyon County,0.326309838,0.271561424,0.46873564,0.233951835,0.207928769,28.3037751,13.84938545,50.08874612,1.236827683,1.079559445,-279.0347514,-355.4504336,-163.8646558
Mineral County,0.934634376,1.895402494,0.67673117,0.833410457,0.739608786,10.83032268,56.02989552,-23.15236741,1.13470816,0.861678123,-21.40663657,40.1336569,-67.67487748
Nye County,0.345283194,0.220093677,0.7117722,0.204233617,0.175403436,40.85040322,7.206049662,71.30632284,0.716679285,0.608314216,-107.5627479,-225.6246591,-0.689417958
Pershing County,0.591259029,0.407294504,1.0472381,0.45906068,0.378225648,22.35878744,-12.70976536,56.16463154,0.932627445,0.781972885,-57.73584832,-128.9811024,10.94408758
Storey County,0.405306199,0.41626478,1.6953965,0.731795255,0.673480875,-80.55367932,-75.80042556,56.83633562,0.782392163,0.712436259,-93.03730483,-87.95540733,53.85196543
Washoe County,0.169523639,0.236286543,1.7813362,0.652205454,0.643296783,-284.7283227,-176.0231052,63.38672878,0.556681501,0.474411458,-228.3798674,-135.5959395,68.74921753
White Pine County,0.203011641,0.243565177,2.476978,0.733575735,0.712603654,-261.3466364,-201.182519,70.38424503,1.52186378,1.199124098,-649.6436029,-524.8281461,38.55965697
Carson City,0.177693585,0.354395661,1.3681993,0.57385356,0.547191024,-222.9455688,-61.9245446,58.05775082,1.24023053,1.101010919,-597.9602163,-249.9564658,9.353079609
